Suomi;Englanti
Vuoden 2015 hinnoin, 1000 $, ostovoimakorjattu,\nlogaritminen asteikko;2015 prices, USD 1,000, purchasing power parity adjusted,\nlogarithmic scale
logaritminen asteikko;logarithmic scale
<- Tuottavuus paranee;<- Productivity improves
Suomi;Finland
Ranska;France
Italia;Italy
Espanja;Spain
Sveitsi;Switzerland
Tanska;Denmark
Saksa;Germany
Alankomaat;Netherlands
Ruotsi;Sweden
Indeksi;Index
Indeksi, Yhdysvallat = 100;Index, Yhdysvallat = 100
Suomi;Finland
Ranska;France
Italia;Italy
Espanja;Spain
Sveitsi;Switzerland
Tanska;Denmark
Saksa;Germany
Alankomaat;Netherlands
Ruotsi;Sweden
Yhdysvallat;United States
Indeksi, 1997 = 100;Index, 1997 = 100
Suomi;Finland
Espanja;Spain
Alankomaat;Netherlands
Iso-Britannia;United Kingdom
Saksa;Germany
Italia;Italy
Ruotsi;Sweden
Yhdysvallat;United States
Indeksi, 2007 = 100;Index, 2007 = 100
Suomi;Finland
Espanja;Spain
Alankomaat;Netherlands
Iso-Britannia;United Kingdom
Saksa;Germany
Italia;Italy
Ruotsi;Sweden
Yhdysvallat;United States
Indeksi, 1995 = 100;Index, 1995 = 100
Suomi;Finland
Ruotsi;Sweden
Espanja;Spain
Saksa;Germany
Indeksi, 2008 = 100;Index, 2008 = 100
Paperiteollisuus;Paper industry
ICT-teollisuus;ICT manufacturing
Muu teollisuus;Other manufacturing
Indeksi, 1992 = 100;Index, 1992 = 100
Suomi;Finland
Ruotsi;Sweden
Indeksi, 2007 = 100;Index, 2007 = 100
Suomi;Finland
Alankomaat;Netherlands
Ruotsi;Sweden
Sveitsi;Switzerland
Yhdysvallat;United States
Maailman tuonti;World
Ranska;France
Saksa;Germany
Tanska;Denmark
Index, keskiarvo 2000–2021 = 100;Index, average for 2000-2021 = 100
Nimellinen, omassa valuutassa;Nominal, own currency
Nimellinen, vaihtosuhdekorjattu;Nominal, terms-of-trade adjusted
Nimellinen, samassa valuutassa;Nominal, same currency
Reaalinen;Real
keskiarvo;average for
Indeksi, keskiarvo 2000-2021 = 100;Index, average for 2000-2021 = 100
Palkansaajakorvaukset;Employee compensation
Tuottavuus;Productivity
Valuuttakurssi;Exchange rate
prosenttia;percent
Ansiotasoindeksi;Index of wage and salary earnings
Keskiansio työtuntia kohden;Average earnings per hour worked
prosenttia;percent
Koko kansantalous;Whole national economy
Teollisuus;Manufacturing
prosenttia;percent
Yksityinen sektori;Private sector
Kuntasektori;Local government sector
Valtio;Central government
%, vuosimuutos;%, annual change
Suomi, EU;Finland, EU
Verrokkimaat, EU;Reference countries, EU
Suomi, OECD;Finland, OECD
Verrokkimaat, OECD;Reference countries, OECD
%, vuosimuutos;%, annual change
Suomi, EU;Finland, EU
Verrokkimaat, EU;Reference countries, EU
Suomi, OECD;Finland, OECD
Verrokkimaat, OECD;Reference countries, OECD
Kustannuskilpailukyky paranee ->;Cost competitiveness improves ->
<- Yritysten tehdty työtunnit lisääntyvät;<- Hours worked within enterprises increase
Reaaliset yksikkötyökustannukset  (käännetty asteikko vasemmalla);Real unit labour costs (inverted scale on left) 
Tehdyt työtunnit (asteikko oikealla);Hours worked (scale on right)
Kustannuskilpailukyky paranee ->;Cost competitiveness improves ->
<- Yritysten tehdyt työtunnit lisääntyvät;<- Hours worked within enterprises increase
