"geo";"geo_name";"time";"B1G__CLV15_MNAC";"B1G__CP_MNAC";"B1G__PYP_MNAC";"D1__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"b1g__clv10_mnac";"lp_10";"plot_var";"va_ind";"h_ind";"emp_ind";"high_names";"high_size"
"AT";"Itävalta";2000;42669,5;38908,4;38828,5;22449,4;1115930;655,27;1059345;632,63;40957,591865269;0,0367026532715036;75,5299504019322;78,2869316897138;103,650182838874;102,430750953542;"muut";"muut"
"AT";"Itävalta";2001;43834,4;40446,7;39970,6;22867,2;1111932;655,93;1057895;634,23;42075,7348390044;0,0378402050116414;77,8709044979934;80,4241662930594;103,27883926805;102,533921090477;"muut";"muut"
"AT";"Itävalta";2002;43242,8;40192,9;39900,8;22802,4;1074928;640,63;1020860;618,53;41507,8481226935;0,0386145380180752;79,4643951139957;79,3386994347154;99,8418213854143;100,142249734259;"muut";"muut"
"AT";"Itävalta";2003;43531;40467,4;40460,7;23126,9;1077080;638,22;1021498;615,98;41784,4094488794;0,038794155911241;79,8340286241878;79,8673227415337;100,041704167909;99,765522416057;"muut";"muut"
"AT";"Itävalta";2004;44849,5;42014,6;41693;23030,7;1068663;629,64;1013533;607,19;43049,8965377595;0,0402838841971319;82,8997226140296;82,2861930112329;99,2599135637001;98,4243106359032;"muut";"muut"
"AT";"Itävalta";2005;46853,2;44228,9;43891,7;23745,7;1055111;624,24;1002480;602,23;44973,2508191529;0,0426241891319045;87,7158080981276;85,9625201189855;98,0011721750535;97,5801913337085;"muut";"muut"
"AT";"Itävalta";2006;50567,5;47735,5;47735,2;24650,9;1055968;624,88;1002127;602,55;48538,5601383355;0,045965938492772;94,5927540675347;92,7773037625579;98,0807723351826;97,6802351028575;"muut";"muut"
"AT";"Itävalta";2007;54504,2;51552,4;51451,7;26016,4;1076631;639,72;1023616;617,76;52317,2782241643;0,048593509033424;100;100;100;100;"muut";"muut"
"AT";"Itävalta";2008;55096,9;51165,9;52113;27322,5;1077992;644,5;1029022;624,28;52886,1957948781;0,0490599149111293;100,959811067327;101,087437248314;100,126412856401;100,747201900832;"muut";"muut"
"AT";"Itävalta";2009;46983,2;47129,8;43631;26444,1;1001437;621;953724;601,51;45097,9579901131;0,0450332452167366;92,6733757501676;86,2008872038057;93,0158057867552;97,0737197523917;"muut";"muut"
"AT";"Itävalta";2010;50797,6;48759,3;50956,1;26669;1006839;611,91;964963;593,14;48759,3;0,0484281002225778;99,6596071900623;93,1992291171582;93,517556154337;95,6527855936972;"muut";"muut"
"AT";"Itävalta";2011;54470,4;51467,7;52284,8;28149,1;1023314;620,78;980218;602,31;52284,8;0,0510936037228065;105,144914905534;99,9379206540044;95,0477926048943;97,0393297067467;"muut";"muut"
"AT";"Itävalta";2012;55580,8;53234,6;52516,9;29682,4;1030417;626,85;987622;608,63;53350,6570746313;0,0517757927854755;106,548783603717;101,975215235852;95,7075358223941;97,9881823297693;"muut";"muut"
"AT";"Itävalta";2013;55725,5;53431,4;53373,1;30387,4;1023440;625,24;982126;607,25;53489,4590193221;0,0522643819074123;107,554245303552;102,240523274424;95,0594957789623;97,7365097230038;"muut";"muut"
