"year";"vars";"values";"var_names"
2000;"real_full";102,678825717731;"Suomi"
2001;"real_full";100,226280741118;"Suomi"
2002;"real_full";99,2193456003876;"Suomi"
2003;"real_full";99,2252370548863;"Suomi"
2004;"real_full";100,62234854376;"Suomi"
2005;"real_full";99,025107875814;"Suomi"
2006;"real_full";98,9209576258529;"Suomi"
2007;"real_full";100;"Suomi"
2008;"real_full";98,1799249063269;"Suomi"
2009;"real_full";86,5819386152827;"Suomi"
2010;"real_full";84,6586956235047;"Suomi"
2011;"real_full";79,6396458279664;"Suomi"
2012;"real_full";68,4693369986403;"Suomi"
2013;"real_full";72,1824960507665;"Suomi"
2014;"real_full";68,9694106891436;"Suomi"
2015;"real_full";68,6096153603845;"Suomi"
2016;"real_full";71,5463654023906;"Suomi"
2017;"real_full";75,6098609679084;"Suomi"
2018;"real_full";67,4548166137461;"Suomi"
2019;"real_full";67,8506950348339;"Suomi"
2020;"real_full";67,8962460792059;"Suomi"
2000;"alt_1";102,640282962724;"Vaihtoehtoiset"
2001;"alt_1";100,441352914423;"Vaihtoehtoiset"
2002;"alt_1";98,9612906637987;"Vaihtoehtoiset"
2003;"alt_1";99,0964853604196;"Vaihtoehtoiset"
2004;"alt_1";100,625396182561;"Vaihtoehtoiset"
2005;"alt_1";98,9627754938741;"Vaihtoehtoiset"
2006;"alt_1";98,6783912246328;"Vaihtoehtoiset"
2007;"alt_1";100;"Vaihtoehtoiset"
2008;"alt_1";97,8191685138784;"Vaihtoehtoiset"
2009;"alt_1";85,4615390847347;"Vaihtoehtoiset"
2010;"alt_1";84,3601177400471;"Vaihtoehtoiset"
2011;"alt_1";79,2113050648749;"Vaihtoehtoiset"
2012;"alt_1";68,4458025275711;"Vaihtoehtoiset"
2013;"alt_1";72,3920774954373;"Vaihtoehtoiset"
2014;"alt_1";69,862449947214;"Vaihtoehtoiset"
2015;"alt_1";69,9288434564435;"Vaihtoehtoiset"
2016;"alt_1";73,1407347352045;"Vaihtoehtoiset"
2017;"alt_1";76,3020259623346;"Vaihtoehtoiset"
2018;"alt_1";68,4284257613878;"Vaihtoehtoiset"
2019;"alt_1";68,4003239726026;"Vaihtoehtoiset"
2020;"alt_1";67,8558479917526;"Vaihtoehtoiset"
2000;"alt_2";102,674323990645;"Vaihtoehtoiset"
2001;"alt_2";100,222849207779;"Vaihtoehtoiset"
2002;"alt_2";99,2114935806824;"Vaihtoehtoiset"
2003;"alt_2";99,2156971233859;"Vaihtoehtoiset"
2004;"alt_2";100,607231799319;"Vaihtoehtoiset"
2005;"alt_2";99,014746693243;"Vaihtoehtoiset"
2006;"alt_2";98,9253729636312;"Vaihtoehtoiset"
2007;"alt_2";100;"Vaihtoehtoiset"
2008;"alt_2";98,1926005453704;"Vaihtoehtoiset"
2009;"alt_2";86,5923196086385;"Vaihtoehtoiset"
2010;"alt_2";84,653728006864;"Vaihtoehtoiset"
2011;"alt_2";79,6444535871266;"Vaihtoehtoiset"
2012;"alt_2";68,4650337445618;"Vaihtoehtoiset"
2013;"alt_2";72,1749636250269;"Vaihtoehtoiset"
2014;"alt_2";68,9523619003656;"Vaihtoehtoiset"
2015;"alt_2";68,5937341819551;"Vaihtoehtoiset"
2016;"alt_2";71,532960629278;"Vaihtoehtoiset"
2017;"alt_2";75,6075259598937;"Vaihtoehtoiset"
2018;"alt_2";67,4409009053954;"Vaihtoehtoiset"
2019;"alt_2";67,842614577299;"Vaihtoehtoiset"
2020;"alt_2";67,8907932108513;"Vaihtoehtoiset"
2000;"alt_3";103,026124481198;"Vaihtoehtoiset"
2001;"alt_3";100,872165187012;"Vaihtoehtoiset"
2002;"alt_3";98,8923680923063;"Vaihtoehtoiset"
2003;"alt_3";99,6954387096864;"Vaihtoehtoiset"
2004;"alt_3";100,375109242553;"Vaihtoehtoiset"
2005;"alt_3";99,1883838426602;"Vaihtoehtoiset"
2006;"alt_3";98,452971719094;"Vaihtoehtoiset"
2007;"alt_3";100;"Vaihtoehtoiset"
2008;"alt_3";97,6815041804892;"Vaihtoehtoiset"
2009;"alt_3";86,3615550088413;"Vaihtoehtoiset"
2010;"alt_3";82,3032977151426;"Vaihtoehtoiset"
2011;"alt_3";78,6728279093315;"Vaihtoehtoiset"
2012;"alt_3";67,7681716656516;"Vaihtoehtoiset"
2013;"alt_3";71,4522534696786;"Vaihtoehtoiset"
2014;"alt_3";68,0823894501112;"Vaihtoehtoiset"
2015;"alt_3";67,8067408589309;"Vaihtoehtoiset"
2016;"alt_3";71,327562680451;"Vaihtoehtoiset"
2017;"alt_3";75,9293760194311;"Vaihtoehtoiset"
2018;"alt_3";66,8424349155402;"Vaihtoehtoiset"
2019;"alt_3";66,9153272685712;"Vaihtoehtoiset"
2020;"alt_3";66,8456531914492;"Vaihtoehtoiset"
2000;"alt_4";102,678921494303;"Vaihtoehtoiset"
2001;"alt_4";100,226121284119;"Vaihtoehtoiset"
2002;"alt_4";99,2194274439972;"Vaihtoehtoiset"
2003;"alt_4";99,2254390610258;"Vaihtoehtoiset"
2004;"alt_4";100,62234749248;"Vaihtoehtoiset"
2005;"alt_4";99,0248738811064;"Vaihtoehtoiset"
2006;"alt_4";98,9209000314404;"Vaihtoehtoiset"
2007;"alt_4";100;"Vaihtoehtoiset"
2008;"alt_4";98,1801012512212;"Vaihtoehtoiset"
2009;"alt_4";86,5825742852146;"Vaihtoehtoiset"
2010;"alt_4";84,6590306810215;"Vaihtoehtoiset"
2011;"alt_4";79,6401895716559;"Vaihtoehtoiset"
2012;"alt_4";68,469837573226;"Vaihtoehtoiset"
2013;"alt_4";72,1829269727793;"Vaihtoehtoiset"
2014;"alt_4";68,9696195047005;"Vaihtoehtoiset"
2015;"alt_4";68,6097590757207;"Vaihtoehtoiset"
2016;"alt_4";71,5465762529623;"Vaihtoehtoiset"
2017;"alt_4";75,6101408207576;"Vaihtoehtoiset"
2018;"alt_4";67,4549551322908;"Vaihtoehtoiset"
