"geo";"geo_name";"time";"B1G__CLV15_MNAC";"B1G__CP_MNAC";"B1G__PYP_MNAC";"D1__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"b1g__clv10_mnac";"lp_10";"plot_var";"va_ind";"h_ind";"emp_ind";"high_names";"high_size"
"AT";"Itävalta";2000;39878,2;35879,3;35813,7;20844,8;1057437;620,32;1002353;598,23;38114,6753841247;0,036044393551696;74,8538110775094;76,4029137385227;102,06950406227;100,801117990218;"muut";"muut"
"AT";"Itävalta";2001;40918,3;37333,9;36806;21209,7;1054331;620,65;1001445;599,38;39099,111247658;0,0370842849614191;77,0133656560294;78,3762682956486;101,769696244294;100,854742521003;"muut";"muut"
"AT";"Itävalta";2002;40355,1;37181,2;36818,4;21177,5;1020894;607,35;967950;585,67;38559,2375176654;0,0377700696817353;78,4375427564365;77,2940624102092;98,542177245687;98,693511431775;"muut";"muut"
"AT";"Itävalta";2003;40715,5;37537,1;37524,2;21524;1023227;605,8;968881;584,01;38914,9500408911;0,0380315902931521;78,9806456501443;78,0071072663919;98,7673709479854;98,4416386356619;"muut";"muut"
"AT";"Itävalta";2004;41844,3;38944,3;38565,3;21397,6;1012690;597,36;958853;575,4;39980,8915129826;0,0394798916874686;81,9883499911253;80,1438441930939;97,7502830606652;97,0701506361819;"muut";"muut"
"AT";"Itävalta";2005;43639,9;40818,2;40608,8;22024,5;1000186;592,38;948835;570,85;41689,6959830426;0,0416819431416183;86,5613758431338;83,5692345238844;96,5433297586769;96,2609077170575;"muut";"muut"
"AT";"Itävalta";2006;47168,1;44007,5;44127;22878;1000654;592,83;948092;570,98;45069,1410851954;0,0450396851311196;93,534437663932;90,3435137226886;96,588503634663;96,3340320772193;"muut";"muut"
"AT";"Itävalta";2007;52005,4;48956,9;48711,3;24839,9;1035997;615,39;984239;593,91;49886,416000529;0,0481530506367576;100;100;100;100;"muut";"muut"
"AT";"Itävalta";2008;52596,5;48668,2;49515,9;26011,8;1036088;619,21;988356;599,47;50456,0294062858;0,0486985945269956;101,132937338391;101,141820662665;100,00878380922;100,620744568485;"muut";"muut"
"AT";"Itävalta";2009;44667,3;44829,6;41317,6;25129,8;961697;596,13;915119;577,1;42835,4046502059;0,0445414768375132;92,4998027093065;85,8658690769683;92,8281645603221;96,8702773850729;"muut";"muut"
"AT";"Itävalta";2010;48434,2;46446,3;48608,6;25566,7;972884;590,93;932149;572,66;46446,3;0,0477408406346492;99,1439586969932;93,1041027270981;93,9079939420674;96,0252847787582;"muut";"muut"
"AT";"Itävalta";2011;51668,5;48745,9;49542,6;26985,2;989375;599,71;947184;581,61;49542,6;0,0500746430827543;103,990593369654;99,3108023624601;95,4997939183222;97,4520222948049;"muut";"muut"
"AT";"Itävalta";2012;52743,6;50484,2;49760,9;28440,8;994928;604,73;953013;586,87;50574,1890977498;0,0508320090476394;105,563424072735;101,378678109916;96,0357993314652;98,2677651570549;"muut";"muut"
"AT";"Itävalta";2013;52684,7;50532,3;50425,4;29076,2;987634;602,89;947175;585,27;50515,284285572;0,0511477777046679;106,219184513357;101,26060025045;95,3317432386387;97,968767773282;"muut";"muut"
"AT";"Itävalta";2014;53977,4;52276,2;51771,4;29759,1;985927;602,23;944972;584,95;51753,9670440898;0,0524926967656731;109,01219356101;103,743606362784;95,1669744217406;97,8615187117113;"muut";"muut"
"AT";"Itävalta";2015;54601,8;54601,8;52880,5;30387,2;984492;604,88;943097;587,78;52352,2301597092;0,0531768974859209;110,433081150062;104,942856907488;95,028460507125;98,2921399437755;"muut";"muut"
"AT";"Itävalta";2016;56728,5;57663,8;56728,5;31337,6;983551;606,97;945010;590,06;54391,3110669441;0,0553009565004195;114,844139196044;109,030304093939;94,9376301282726;98,6317619720827;"muut";"muut"
"AT";"Itävalta";2017;58836,3;58825,1;59806,5;32136,2;994461;614,3;954471;597,36;56412,4103046485;0,0567266190475529;117,80482917992;113,081706058119;95,9907219808552;99,8228765498302;"muut";"muut"
"AT";"Itävalta";2018;61521,6;61113,3;61506;34097,4;1015381;629,72;976362;613,06;58983,3541838043;0,0580898738343581;120,63591624248;118,235301135241;98,0100328475855;102,32860462471;"muut";"muut"
"AT";"Itävalta";2019;61948,3;62003,7;61537,2;35582,8;1021123;637,04;981895;619,95;59392,4802470101;0,0581638845144122;120,789615082067;119,055416300863;98,5642815567999;103,518094216676;"muut";"muut"
"AT";"Itävalta";2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"muut";"muut"
"BE";"Belgia";2000;46099,5;42866,5;42068,5;25813,1;1023964;632,4;952883;603,3;44495,8482141848;0,0434545044690876;80,6880180191156;89,1983059812275;110,547152069215;109,468582309157;"muut";"muut"
"BE";"Belgia";2001;46538;43299,4;43354,9;26913,1;1024472;638,5;956176;610;45002,8122132938;0,0439278108267418;81,5668717163688;90,2145879879514;110,601995748535;110,524493681842;"muut";"muut"
"BE";"Belgia";2002;46764,9;44128,5;43528,8;27127;992986;619;925276;591,2;45241,2368824978;0,0455608003360549;84,5990703011257;90,6925444142399;107,202767230686;107,149039293751;"muut";"muut"
"BE";"Belgia";2003;46714,9;43830,2;44107,8;26970,6;960240;602,2;893875;575;45220,0149147566;0,0470924091005963;87,4430211665525;90,65000193785;103,667509114523;104,240955513242;"muut";"muut"
"BE";"Belgia";2004;49053,7;46120,5;45999,4;27477,2;944914;591,6;881206;564,7;47457,998231125;0,0502246746594134;93,2591339709289;95,1363602981492;102,01291417504;102,406093127921;"muut";"muut"
"BE";"Belgia";2005;50228,8;47564,8;47170,6;27582,4;934263;587;871907;560,7;48538,5512160775;0,0519538408521771;96,469917171069;97,3024836478328;100,863032229298;101,609832092782;"muut";"muut"
"BE";"Belgia";2006;48878,9;47135,4;46235,2;28326;932709;581,9;870494;555,9;47181,7315154397;0,050585693410742;93,9294876631027;94,582544065239;100,695262391379;100,727020945127;"muut";"muut"
"BE";"Belgia";2007;51724,5;49936,2;49835,2;29548,6;926269;577,7;865597;552,1;49884,1852709056;0,0538549657506681;100;100;100;100;"muut";"muut"
"BE";"Belgia";2008;50087,3;47617,5;48357,4;30215,8;916194;577,9;857159;552,2;48307,0297863932;0,0527257652706667;97,90325652563;96,838365754703;98,9123030134874;100,034620045006;"muut";"muut"
"BE";"Belgia";2009;46267,7;43733,1;43984,8;28476,9;832897;552,1;776941;526,8;44621,7261248186;0,0535741227604597;99,4785197868129;89,4506462970013;89,9195590049975;95,5686342392245;"muut";"muut"
"BE";"Belgia";2010;49059,6;47311,9;46369,7;28486,7;830108;534,2;773169;509,4;47311,9;0,05699487295629;105,830302112081;94,8434854514787;89,6184585687311;92,4701402111823;"muut";"muut"
"BE";"Belgia";2011;49013,4;47394;47259,3;29587,4;842724;534,7;785253;510,4;47259,3;0,0560792145471115;104,130071879984;94,7380412115571;90,980481911842;92,5566903236974;"muut";"muut"
"BE";"Belgia";2012;48087,2;47457,1;46491;30228,6;826637;527;769634;503,2;46358,8664451196;0,0560812865201045;104,133919200216;92,9329930785859;89,2437294133777;91,2238185909642;"muut";"muut"
"BE";"Belgia";2013;48658,8;48084,2;48019,9;30531;808294;515;751865;491,4;46908,6423487318;0,0580341340511396;107,760042629717;94,0350976847381;87,2634191579336;89,1466158906007;"muut";"muut"
"BE";"Belgia";2014;50124,8;49314,7;49532,4;30536,6;788252;501,8;733071;478;48321,4369018165;0,0613020162356917;113,827973671919;96,8672468827499;85,0996848647639;86,8616929202008;"muut";"muut"
"BE";"Belgia";2015;51578,1;51578,1;50743,2;29830,3;772393;489;717069;464,8;49721,1650277961;0,0643728840471056;119,53008074526;99,6732025546289;83,3875472459944;84,6460100398131;"muut";"muut"
"BE";"Belgia";2016;50525,6;51642,8;50525,6;29822,8;773191;487,9;716462;463,1;48706,5575453228;0,0629942117087793;116,970108198421;97,6392764175911;83,4736993249261;84,4555997922797;"muut";"muut"
"BE";"Belgia";2017;51252,9;53803,4;52387,1;30961,6;783584;491,4;726682;466,5;49408,539056414;0,0630545532532747;117,082152730721;99,0464989817745;84,595727591013;85,0614505798858;"muut";"muut"
"BE";"Belgia";2018;51155,2;54550,2;53697,4;31560,2;789945;495,4;733730;470,5;49311,1975289273;0,0624235833240634;115,910543167116;98,8513639365531;85,2824611424975;85,7538514800069;"muut";"muut"
"BE";"Belgia";2019;52123,1;56425;55584,5;32580,7;790938;499,2;735444;474,3;50246,1633329788;0,0635273097676161;117,959985457475;100,725636912996;85,3896654211681;86,4116323351221;"muut";"muut"
"BE";"Belgia";2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"muut";"muut"
"BG";"Bulgaria";2000;6150,2;3352,7;3393,3;2428,6;1074765;639,55;1015856;605,53;5496,78368505612;0,00511440518165006;65,0875589132792;58,7583147538128;90,2758003754615;90,0052070872679;"muut";"muut"
"BG";"Bulgaria";2001;6429,1;3922,7;3508,2;2501,3;1052823;625,3;992101;590,13;5751,72742085898;0,00546314757642925;69,5257663605871;61,4835564826337;88,432763421487;87,9997748286587;"muut";"muut"
"BG";"Bulgaria";2002;6821,4;4442,7;4163,6;2594,1;1071165;636,59;1005396;600,8;6104,95125538237;0,00569935654673404;72,5318373941687;65,2593712930109;89,9734153132835;89,5886401058305;"muut";"muut"
"BG";"Bulgaria";2003;7591,7;4894,9;4943,7;2714,5;1055203;636,52;995120;599,37;6793,40210260288;0,00643800491716085;81,9321132070525;72,6186224280861;88,6326735459268;89,5787888596479;"muut";"muut"
"BG";"Bulgaria";2004;7753,7;5106,9;5000,3;2788;1090005;650,91;1021614;611,24;6939,68181855507;0,00636665136265895;81,0240450119518;74,1822913087415;91,5558971386813;91,6039236106224;"muut";"muut"
"BG";"Bulgaria";2005;8364,7;6258,1;5504,6;3157,3;1122769;665,53;1051228;624,48;7480,1097609936;0,00666219833375663;84,7852704545468;79,9592396048676;94,3079371879029;93,6614267419114;"muut";"muut"
"BG";"Bulgaria";2006;9145;7039;6846,9;3531,9;1154850;687,27;1078983;643,84;8183,88385013776;0,00708653405216068;90,1855027571664;87,4822897765405;97,0026080711613;96,7209423420634;"muut";"muut"
"BG";"Bulgaria";2007;10432,9;8666,9;8046,2;3993,6;1190535;710,57;1111902;664,99;9354,90357081665;0,0078577308275831;100;100;100;100;"muut";"muut"
"BG";"Bulgaria";2008;10738,9;8786,9;8889,9;4465,4;1285273;729,95;1203933;683,12;9595,60595532462;0,00746581150878033;95,0123091843892;102,573007649794;107,957598894615;102,727387871709;"muut";"muut"
"BG";"Bulgaria";2009;9849,8;9185,1;8034,4;4139,2;1088391;648,81;1008257;602,88;8773,84930834084;0,00806130270127265;102,590720885665;93,7887733627906;91,4203278358049;91,3083862251432;"muut";"muut"
"BG";"Bulgaria";2010;9211,5;8169;8551,9;4373,3;1029436;612,46;953143;568,73;8169;0,00793541317770119;100,988610475755;87,3231876540538;86,4683524633883;86,1927748145855;"muut";"muut"
"BG";"Bulgaria";2011;10286,9;10538,7;9125,4;4711,8;1013430;603,23;940350;561,36;9125,4;0,00900446996832539;114,593769701513;97,5467029769007;85,123914878605;84,8938176393599;"muut";"muut"
"BG";"Bulgaria";2012;10798,1;10885,1;11068,7;4937;993374;591,28;918956;548,69;9584,32396595405;0,00964825329226862;122,786762539641;102,452407909934;83,4392940988715;83,2120691838946;"muut";"muut"
"BG";"Bulgaria";2013;10468;10024,2;10542,5;5002,4;960192;571,48;888835;530,57;9282,66487318174;0,0096675090744161;123,031817792487;99,2277985861847;80,6521437840971;80,4255738350901;"muut";"muut"
"BG";"Bulgaria";2014;11055,3;10734,6;10602,6;5409,7;967756;574,78;892691;532,07;9818,27802561768;0,0101454065132303;129,113693709343;104,953278794306;81,2874883980731;80,8899897265575;"muut";"muut"
"BG";"Bulgaria";2015;11656,5;11656,5;11320,1;5977,6;992368;588,49;911422;542,68;10353,7988446514;0,0104334267576659;132,779131616997;110,67777199704;83,3547942731629;82,8194266574722;"muut";"muut"
"BG";"Bulgaria";2016;12370;13228,7;12370;6564,3;1005243;595,78;930005;552,9;10987,5598771791;0,0109302525629913;139,101895990413;117,452411924967;84,436240849702;83,8453635813502;"muut";"muut"
"BG";"Bulgaria";2017;13038,6;14338,4;13948,6;7342,9;1014585;600,59;935630;555,73;11585,4980234505;0,0114189525997827;145,321249230103;123,844120206566;85,2209300860538;84,522284926186;"muut";"muut"
"BG";"Bulgaria";2018;13138,2;14359,3;14455,2;8008,9;1019544;602,99;938142;556,39;11679,8730003753;0,0114559773784901;145,792438426066;124,85294917215;85,6374655092038;84,8600419381623;"muut";"muut"
"BG";"Bulgaria";2019;13327,5;15453,8;14571,4;8682,3;1010772;598;923331;547,66;11852,3954118703;0,0117260820559635;149,229877088704;126,697141473962;84,900653907697;84,1577888174283;"muut";"muut"
"BG";"Bulgaria";2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"muut";"muut"
"CY";"Kypros";2000;1070,5;860;815,8;345,9;69437;35,87;52957;28,24;1038,13733880673;0,014950780402476;104,258395908734;100,580613492202;96,4724352561965;93,9743253864291;"muut";"muut"
"CY";"Kypros";2001;1045,2;880,8;839,6;385,5;67074;34,26;51268;27,1;1013,51175542108;0,0151103520801068;105,37115970396;98,1947477768059;93,1893964654885;89,7563531569295;"muut";"muut"
"CY";"Kypros";2002;1067,6;914,9;899,6;410,2;65329;33,65;50661;26,91;1035,14438598638;0,0158450976746373;110,494865291534;100,290639305194;90,7649772146271;88,1582394550694;"muut";"muut"
"CY";"Kypros";2003;1096,6;938,9;939,6;429,7;66473;34,62;51429;27,55;1063,09068212133;0,0159928193720959;111,524993940564;102,99823444219;92,3543959097477;90,6995022268797;"muut";"muut"
"CY";"Kypros";2004;1098,1;994,1;939,5;427,6;66663;35,5;48761;28,11;1063,7700456417;0,0159574283431843;111,278196662793;103,06405502017;92,6183727909303;93,0049777312025;"muut";"muut"
"CY";"Kypros";2005;1088,5;1002,7;985;544,3;70537;37,53;51972;30,11;1054,03228544117;0,0149429701495835;104,203931565315;102,120605768904;98,0007224630432;98,3232905423107;"muut";"muut"
"CY";"Kypros";2006;1057;970,3;968,7;576,2;68163;37,45;52216;30,8;1018,29168735102;0,0149390679305637;104,176719668375;98,6578546009151;94,7024008002668;98,1137018600996;"muut";"muut"
