"year";"vars";"values";"var_names"
2000;"real_full";101,233603270138;"Suomi"
2001;"real_full";100,384266596176;"Suomi"
2002;"real_full";100,103929402418;"Suomi"
2003;"real_full";99,3938011564556;"Suomi"
2004;"real_full";100,820424925116;"Suomi"
2005;"real_full";98,6417947987054;"Suomi"
2006;"real_full";98,3603397014064;"Suomi"
2007;"real_full";100;"Suomi"
2008;"real_full";99,4827944507294;"Suomi"
2009;"real_full";93,6155738234375;"Suomi"
2010;"real_full";95,1307802963638;"Suomi"
2011;"real_full";94,5070890570264;"Suomi"
2012;"real_full";89,8377245300335;"Suomi"
2013;"real_full";89,8708205909416;"Suomi"
2014;"real_full";87,6818664570227;"Suomi"
2015;"real_full";87,9062567820309;"Suomi"
2016;"real_full";88,4221487692583;"Suomi"
2017;"real_full";89,3666815923905;"Suomi"
2018;"real_full";84,0643110859368;"Suomi"
2019;"real_full";82,9419262426488;"Suomi"
2020;"real_full";81,3610656245183;"Suomi"
2000;"alt_1";101,233576326489;"Vaihtoehtoiset"
2001;"alt_1";100,384244338255;"Vaihtoehtoiset"
2002;"alt_1";100,103942028687;"Vaihtoehtoiset"
2003;"alt_1";99,3938116411264;"Vaihtoehtoiset"
2004;"alt_1";100,820464955318;"Vaihtoehtoiset"
2005;"alt_1";98,6418023212888;"Vaihtoehtoiset"
2006;"alt_1";98,3603380504092;"Vaihtoehtoiset"
2007;"alt_1";100;"Vaihtoehtoiset"
2008;"alt_1";99,4827718673355;"Vaihtoehtoiset"
2009;"alt_1";93,6156143315793;"Vaihtoehtoiset"
2010;"alt_1";95,1308530681061;"Vaihtoehtoiset"
2011;"alt_1";94,5071479428926;"Vaihtoehtoiset"
2012;"alt_1";89,8378175158453;"Vaihtoehtoiset"
2013;"alt_1";89,8709286482614;"Vaihtoehtoiset"
2014;"alt_1";87,681954653418;"Vaihtoehtoiset"
2015;"alt_1";87,9063270906772;"Vaihtoehtoiset"
2016;"alt_1";88,4222139633557;"Vaihtoehtoiset"
2017;"alt_1";89,3667335764131;"Vaihtoehtoiset"
2018;"alt_1";84,0643869895842;"Vaihtoehtoiset"
2019;"alt_1";82,9420236705141;"Vaihtoehtoiset"
2020;"alt_1";81,3611801097663;"Vaihtoehtoiset"
2000;"alt_2";101,234426242437;"Vaihtoehtoiset"
2001;"alt_2";100,386782019141;"Vaihtoehtoiset"
