"geo";"geo_name";"time";"B1G__CLV15_MNAC";"B1G__CP_MNAC";"B1G__PYP_MNAC";"D1__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"b1g__clv10_mnac";"lp_10";"plot_var";"va_ind";"h_ind";"emp_ind";"high_names";"high_size"
"AT";"Itävalta";2000;147551,7;112769,6;111333,4;63310,3;4102335;2314,03;3489397;2091,12;132484,951542593;0,0322950104129949;85,2808760135;81,5264541555549;95,5975805673586;93,1191700670417;"muut";"muut"
"AT";"Itävalta";2001;149395;117169,4;114606,8;64498,1;4116527;2332,51;3494595;2104,39;134643,346650619;0,0327079955143302;86,371438635156;82,8546525492229;95,9282997464145;93,8628260537138;"muut";"muut"
"AT";"Itävalta";2002;151677,1;120487,3;118906;65540,3;4090928;2322;3456492;2089,44;136638,932834328;0,0334004736417576;88,2000536618114;84,0826642111157;95,3317608326144;93,4398918318565;"muut";"muut"
"AT";"Itävalta";2003;154260,4;123306,2;122418,9;66794,2;4101123;2332;3458424;2094,52;138829,468788431;0,0338515740172707;89,3912666294435;85,4306409206128;95,569337074897;93,8423030800557;"muut";"muut"
"AT";"Itävalta";2004;157895,2;127788,5;126235,7;68049,5;4139249;2349,67;3482236;2102,27;142127,769513096;0,0343366078032746;90,6720869678667;87,4602960602322;96,4577953204355;94,5533637556237;"muut";"muut"
"AT";"Itävalta";2005;162554,2;134234,6;131849,8;70490,3;4111766;2368,57;3481274;2118,16;146644,791861145;0,0356646734909391;94,1790870833374;90,2399084697168;95,8173531559772;95,3139210147202;"muut";"muut"
"AT";"Itävalta";2006;169747,8;142587,2;140621,5;73957,5;4194184;2420,18;3533527;2156,38;153622,170429248;0,0366274275113462;96,7214149908337;94,5335352351352;97,7379572497922;97,3907654666763;"muut";"muut"
"AT";"Itävalta";2007;178951,5;153787,4;150832,4;78864,9;4291254;2485,02;3628153;2216,39;162505,47495885;0,0378689946945228;100;100;100;100;"muut";"muut"
"AT";"Itävalta";2008;181334,6;158880,2;155850,8;82860,3;4361214;2537,64;3701827;2263,16;164685,847323751;0,037761469013846;99,7160587928353;101,341722403786;101,630292683677;102,117487988024;"muut";"muut"
"AT";"Itävalta";2009;168049,1;152807;147208,3;82272,6;4171863;2489,7;3527105;2212,54;152587,443989805;0,036575372678778;96,5839546938597;93,8968019560225;97,2178062636236;100,188328464157;"muut";"muut"
