"geo";"geo_name";"time";"B1G__CLV15_MNAC";"B1G__CP_MNAC";"B1G__PYP_MNAC";"D1__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"b1g__clv10_mnac";"lp_10";"plot_var";"va_ind";"h_ind";"emp_ind";"high_names";"high_size"
"AT";"Itävalta";2000;84809,8;62581,5;61150,7;34220,4;2569323;1415,16;2057061;1231,31;76180,3151689823;0,0296499564939801;89,0109843549896;81,9794133261336;92,1003333691795;88,4148970067288;"muut";"muut"
"AT";"Itävalta";2001;86443,7;65835,1;63967,1;35221,6;2607313;1444,45;2082746;1254,14;77867,0028434251;0,029864846623104;89,6560976766693;83,794497258361;93,4621285442879;90,2448472125903;"muut";"muut"
"AT";"Itävalta";2002;89328,1;69174,7;68079,5;36513,2;2630332;1454,87;2093791;1261;80521,5852953662;0,0306127079377684;91,9012231220577;86,6511553274862;94,2872710327275;90,8958571526749;"muut";"muut"
"AT";"Itävalta";2003;90207,9;70683,9;69905,9;37394,6;2627997;1467,39;2088402;1270,25;81372,7257147387;0,0309637818135785;92,9551683874925;87,5670873774331;94,2035702763738;91,6780687121624;"muut";"muut"
"AT";"Itävalta";2004;92305,4;73242;72330,6;38658,2;2673795;1492,89;2120773;1286,97;83268,4398368296;0,0311424173643939;93,491443245842;89,6071095435051;95,8452521776535;93,2712312334826;"muut";"muut"
"AT";"Itävalta";2005;95155,9;77582,8;75590,2;40417,4;2662400;1517,42;2132110;1308,7;85938,095914283;0,0322784314581892;96,9018270941419;92,4799886924915;95,4367853174176;94,8037911020311;"muut";"muut"
"AT";"Itävalta";2006;99208,5;82444,8;80918,9;42678,3;2740009;1566,73;2184315;1346,08;89633,4779033275;0,032712840688964;98,20595019638;96,4566754101276;98,2187690432663;97,8845300795332;"muut";"muut"
"AT";"Itävalta";2007;102835,1;87395,1;85473,4;45085,8;2789700;1600,59;2232008;1375,51;92926,1531378847;0,0333104466924346;100;100;100;100;"muut";"muut"
"AT";"Itävalta";2008;104821;92042,1;89110,2;47456,1;2838899;1641,27;2282157;1409,57;94749,7982306506;0,0333755439100336;100,195425832022;101,962467003299;101,763594651755;102,541562798718;"muut";"muut"
"AT";"Itävalta";2009;101884,4;90520,3;89460;47762,9;2738888;1618,01;2194538;1382,98;92091,7379081312;0,0336237691749831;100,940613271991;99,1020663165564;98,1785855109868;101,088348671427;"muut";"muut"
"AT";"Itävalta";2010;103417,7;93496;91900,6;48852,7;2757786;1640,3;2213935;1401,25;93496;0,033902558066507;101,777554589825;100,613225494517;98,8560060221529;102,480960145946;"muut";"muut"
"AT";"Itävalta";2011;107287,7;99021,2;96993,9;51300,8;2820764;1681,09;2267448;1440,62;96993,9;0,0343856841621632;103,227928702538;104,377397239375;101,113524751765;105,029395410442;"muut";"muut"
"AT";"Itävalta";2012;107309,8;101472,3;99043,4;53780,5;2836964;1708,77;2291099;1467,32;97015,6454906626;0,034196995623019;102,661474157853;104,400798068882;101,694232354733;106,758757708095;"muut";"muut"
"AT";"Itävalta";2013;107079,7;102806,3;101248,1;55881,2;2836312;1722,81;2289835;1483,31;96801,2923349836;0,0341292820870848;102,458193978036;104,170127640331;101,670860666021;107,635934249246;"muut";"muut"
"AT";"Itävalta";2014;108838,3;106921,1;104495,4;57803,4;2852527;1742,82;2317698;1500,91;98391,7304976548;0,034492830566601;103,549588767403;105,881635228847;102,252105961214;108,88609825127;"muut";"muut"
"AT";"Itävalta";2015;110544,2;110544,2;108598;59519,8;2841549;1757,92;2309577;1519,84;99934,8598974787;0,0351691489034603;105,579937814067;107,542232754642;101,858586944833;109,829500371738;"muut";"muut"
"AT";"Itävalta";2016;112770,4;114741;112770,4;62245,8;2930142;1787,43;2383988;1547,83;101947,403161655;0,0347926493533949;104,449663118138;109,707977484427;105,034304763953;111,673195509156;"muut";"muut"
"AT";"Itävalta";2017;114934,6;117653,1;116945,4;64897,1;2966840;1826,76;2421139;1584,3;103906,013035454;0,0350224525203428;105,139546292236;111,815683235351;106,349786715417;114,130414409686;"muut";"muut"
"AT";"Itävalta";2018;118735,1;124305,3;121541,6;68713;3053988;1869,63;2486750;1624,56;107340,164211142;0,0351475396141511;105,515065404793;115,511253384039;109,473706850199;116,808801754353;"muut";"muut"
"AT";"Itävalta";2019;120758,6;127872,6;126413,6;71569,8;3109095;1892,79;2534853;1645,95;109160,724301551;0,0351101282854179;105,40275430588;117,470400544374;111,449080546295;118,255768185482;"muut";"muut"
"AT";"Itävalta";2020;106348,1;113850,6;112558;67763,1;2675883;1822,19;2166133;1577,79;96087,1430309076;0,0359085741158741;107,799737564101;103,401614923554;95,9200989353694;113,844894695081;"muut";"muut"
"BE";"Belgia";2000;100934,8;78193,7;76483,8;42719,4;2733746;1617;1754952;1203,2;94242,7925287602;0,0344738657244529;89,8328892557502;79,4353625924368;88,4257016005439;89,4754316069057;"muut";"muut"
"BE";"Belgia";2001;104163,3;83562;80929,4;45904,1;2777477;1642,9;1798370;1229,9;97539,9892021613;0,0351181987113345;91,5119087865744;82,2145036414488;89,8402237824487;90,9085878707393;"muut";"muut"
"BE";"Belgia";2002;106716,8;87054,7;85703;48394,9;2831677;1658,4;1832587;1245,8;100039,128965233;0,0353285805426372;92,0601271936396;84,3209785019876;91,5933760602205;91,7662682602922;"muut";"muut"
"BE";"Belgia";2003;110218,9;92141,5;89836,8;49271,3;2863229;1661,1;1861118;1244;103236,186225716;0,036055860787145;93,955292829689;87,0157140451619;92,6139565153543;91,9156706507304;"muut";"muut"
"BE";"Belgia";2004;112888,1;98096,8;94434,5;51096,7;2877568;1687,4;1879760;1265,3;105805,284569194;0,0367689954048677;95,813597426289;89,1811555921908;93,0777655653722;93,3709606020363;"muut";"muut"
"BE";"Belgia";2005;115970,1;103513;100773;53044,1;2905563;1720,5;1910946;1295,1;108691,781402568;0,0374081654407658;97,4791632061575;91,6141259703868;93,9832913590294;95,2025232403718;"muut";"muut"
"BE";"Belgia";2006;119827,8;109080,4;106924,4;56379,6;2996156;1754,5;1972119;1324,3;112273,854601845;0,0374726331345379;97,6471547868375;94,633383738352;96,9136109955641;97,0838866755201;"muut";"muut"
"BE";"Belgia";2007;126601;116658,5;115266,3;60329,8;3091574;1807,2;2047535;1369,6;118640,853963614;0,038375550435996;100;100;100;100;"muut";"muut"
"BE";"Belgia";2008;129527,9;121572,6;119413,5;64237,3;3146946;1856;2088981;1408,8;121442,669113558;0,0385906428370738;100,56049333139;102,361593883;101,79106176983;102,700309871625;"muut";"muut"
"BE";"Belgia";2009;127147,5;118088,5;119565,3;64785,7;3104099;1848,1;2029582;1394,7;119437,514418243;0,0384773534665754;100,265280965153;100,671489143928;100,405133436884;102,263169544046;"muut";"muut"
"BE";"Belgia";2010;130701,5;122827,2;121439,9;66438,6;3168985;1875,6;2060964;1416,4;122827,2;0,0387591610563004;100,999622457388;103,528587241685;102,50393488883;103,784860557769;"muut";"muut"
"BE";"Belgia";2011;133456,8;127619;125450,9;69152,4;3258737;1908,9;2111815;1441,3;125450,9;0,0384967857179024;100,315918027309;105,740051431588;105,407051553675;105,627490039841;"muut";"muut"
"BE";"Belgia";2012;132253,6;129943,8;126639,9;71359,1;3285353;1918,9;2118688;1444,2;124488,433782666;0,037891950661821;98,7398232242126;104,928807930568;106,267972236796;106,180832226649;"muut";"muut"
"BE";"Belgia";2013;133735,2;132039,8;131427,9;72378,1;3276406;1916,7;2104287;1437,3;125910,227547177;0,0384293727783359;100,140251649106;106,12720942298;105,978572727032;106,059096945551;"muut";"muut"
"BE";"Belgia";2014;137519;136713;135803,9;73542,3;3285889;1937,5;2120841;1455,8;129499,589902393;0,0394108230382685;102,697740072808;109,15261107452;106,285309683676;107,210048694112;"muut";"muut"
"BE";"Belgia";2015;142423,8;142423,8;141592,4;75683;3334329;1976,8;2168975;1490,8;134121,537332189;0,0402244461575895;104,817900201007;113,048358007709;107,852149099455;109,384683488269;"muut";"muut"
"BE";"Belgia";2016;145493;148650,1;145493;77229,2;3386641;2012,5;2227876;1520,2;137011,825488944;0,0404565542934559;105,422733573374;115,484524016461;109,544232161352;111,360115095175;"muut";"muut"
"BE";"Belgia";2017;147928,4;153070,8;151077,1;80434;3462608;2052,1;2289283;1552,8;139248,808178237;0,0402150079299293;104,79330582372;117,370031929257;112,001459450752;113,551350154936;"muut";"muut"
"BE";"Belgia";2018;152952,2;160086,4;158220,9;83458,3;3529009;2089,8;2344048;1583,3;143933,864289518;0,0407859159014664;106,280992554076;121,318971906306;114,149265066921;115,637450199203;"muut";"muut"
"BE";"Belgia";2019;154838,9;165086,2;162027,3;87154,1;3583396;2129;2388523;1615,6;145678,929686701;0,0406538740587701;105,936914511686;122,789852584321;115,908466043511;117,806551571492;"muut";"muut"
"BE";"Belgia";2020;140915,8;151430,5;149993,8;82163,2;3556402,07838548;2112,6;2351551,01647616;1590,1;132360,768154098;0,0372176051067282;96,9825961683622;111,564240927237;115,035321114276;116,899070385126;"muut";"muut"
"BG";"Bulgaria";2000;12126,7;7074,3;6458,8;2515,6;1476888;838,03;1136999;657,57;10572,8827141433;0,00715889269473601;75,5658170069744;57,9598383533694;76,7011337256104;73,8671320658258;"muut";"muut"
"BG";"Bulgaria";2001;13459;8216,1;7841,5;3128,2;1539833;868,72;1175908;674,63;11719,5001347065;0,00761089035934841;80,3368862586193;64,2455186305283;79,9701377816786;76,572264678143;"muut";"muut"
"BG";"Bulgaria";2002;14301,8;9190,1;8772,2;3340,6;1564559;881,16;1209375;690,89;12512,7249037466;0,00799760501441405;84,4188595615706;68,5939239457553;81,2542651037907;77,6687733030119;"muut";"muut"
