"year";"vars";"values";"var_names"
2000;"real_full";99,5797141187611;"Suomi"
2001;"real_full";101,83288526165;"Suomi"
2002;"real_full";100,728407988378;"Suomi"
2003;"real_full";99,2219567164635;"Suomi"
2004;"real_full";99,9850622619363;"Suomi"
2005;"real_full";99,8528905371742;"Suomi"
2006;"real_full";97,6480919333348;"Suomi"
2007;"real_full";100;"Suomi"
2008;"real_full";102,979257187414;"Suomi"
2009;"real_full";99,1884748611642;"Suomi"
2010;"real_full";99,953299334623;"Suomi"
2011;"real_full";103,523719348813;"Suomi"
2012;"real_full";105,050669707614;"Suomi"
2013;"real_full";102,777311414291;"Suomi"
2014;"real_full";100,145293588773;"Suomi"
2015;"real_full";99,7343849418815;"Suomi"
2016;"real_full";101,159623842974;"Suomi"
2017;"real_full";102,956515261131;"Suomi"
2018;"real_full";99,460371094097;"Suomi"
2019;"real_full";97,5498292497664;"Suomi"
2020;"real_full";94,6222254728585;"Suomi"
2000;"alt_1";99,5776927973709;"Vaihtoehtoiset"
2001;"alt_1";101,834094281279;"Vaihtoehtoiset"
2002;"alt_1";100,728706839767;"Vaihtoehtoiset"
2003;"alt_1";99,2216151145191;"Vaihtoehtoiset"
2004;"alt_1";99,984721780641;"Vaihtoehtoiset"
2005;"alt_1";99,8527160604585;"Vaihtoehtoiset"
2006;"alt_1";97,648879528279;"Vaihtoehtoiset"
2007;"alt_1";100;"Vaihtoehtoiset"
2008;"alt_1";102,978959632535;"Vaihtoehtoiset"
2009;"alt_1";99,1872465650421;"Vaihtoehtoiset"
2010;"alt_1";99,9533944162933;"Vaihtoehtoiset"
2011;"alt_1";103,524919897641;"Vaihtoehtoiset"
2012;"alt_1";105,052316180683;"Vaihtoehtoiset"
2013;"alt_1";102,779187361927;"Vaihtoehtoiset"
2014;"alt_1";100,146458867362;"Vaihtoehtoiset"
2015;"alt_1";99,7372812370507;"Vaihtoehtoiset"
2016;"alt_1";101,164866355083;"Vaihtoehtoiset"
2017;"alt_1";102,966185726405;"Vaihtoehtoiset"
2018;"alt_1";99,4735556840364;"Vaihtoehtoiset"
2019;"alt_1";97,5643415472125;"Vaihtoehtoiset"
2020;"alt_1";94,6358803201287;"Vaihtoehtoiset"
2000;"alt_2";99,5782689022431;"Vaihtoehtoiset"
2001;"alt_2";101,833313304015;"Vaihtoehtoiset"
2002;"alt_2";100,72873466645;"Vaihtoehtoiset"
2003;"alt_2";99,2216975897204;"Vaihtoehtoiset"
2004;"alt_2";99,9855850469483;"Vaihtoehtoiset"
2005;"alt_2";99,8527277398406;"Vaihtoehtoiset"
2006;"alt_2";97,6483369805897;"Vaihtoehtoiset"
2007;"alt_2";100;"Vaihtoehtoiset"
2008;"alt_2";102,978370418973;"Vaihtoehtoiset"
2009;"alt_2";99,1876408736066;"Vaihtoehtoiset"
2010;"alt_2";99,9534429415483;"Vaihtoehtoiset"
2011;"alt_2";103,524099328404;"Vaihtoehtoiset"
2012;"alt_2";105,051255060955;"Vaihtoehtoiset"
2013;"alt_2";102,7780899275;"Vaihtoehtoiset"
2014;"alt_2";100,145517742245;"Vaihtoehtoiset"
2015;"alt_2";99,7353876239669;"Vaihtoehtoiset"
2016;"alt_2";101,162001375616;"Vaihtoehtoiset"
2017;"alt_2";102,961438047727;"Vaihtoehtoiset"
2018;"alt_2";99,4676904548446;"Vaihtoehtoiset"
2019;"alt_2";97,5584109589359;"Vaihtoehtoiset"
2020;"alt_2";94,6311555648826;"Vaihtoehtoiset"
2000;"alt_3";99,5784450498634;"Vaihtoehtoiset"
2001;"alt_3";101,833403678818;"Vaihtoehtoiset"
2002;"alt_3";100,728895076687;"Vaihtoehtoiset"
2003;"alt_3";99,221658302491;"Vaihtoehtoiset"
2004;"alt_3";99,9853917252756;"Vaihtoehtoiset"
2005;"alt_3";99,852828728218;"Vaihtoehtoiset"
2006;"alt_3";97,6485096470229;"Vaihtoehtoiset"
2007;"alt_3";100;"Vaihtoehtoiset"
2008;"alt_3";102,978667677572;"Vaihtoehtoiset"
