"";"time";"service_group";"geo";"indeksi"
"1";2000;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";77,2974370469745
"2";2001;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";81,6998564496338
"3";2002;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";84,3644710634552
"4";2003;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";87,8525813742723
"5";2004;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";89,5150838904522
"6";2005;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";92,3904612870719
"7";2006;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";98,982582473306
"8";2007;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";100
"9";2008;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";99,9010268345499
"10";2009;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";96,3661089630698
"11";2010;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";94,7314929471616
"12";2011;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";97,4766673634526
"13";2012;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";101,060621078345
"14";2013;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";100,759932587559
"15";2014;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";102,049007520277
"16";2015;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";103,070617756001
"17";2016;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";103,543315992868
"18";2017;"Kauppa, kuljetus, hotelli ja ravintola";"Saksa";106,198559534471
"19";2000;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";90,5861774593565
"20";2001;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";91,214228948667
"21";2002;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";91,3645860518928
"22";2003;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";92,1293199857711
"23";2004;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";93,0234760178315
"24";2005;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";95,569242561124
"25";2006;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";99,2746039722415
"26";2007;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";100
"27";2008;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";92,125494305922
"28";2009;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";91,0241051271873
"29";2010;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";97,4046021984009
"30";2011;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";97,8118213476028
"31";2012;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";98,5526480802227
"32";2013;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";101,208370331379
"33";2014;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";102,644403576811
"34";2015;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";104,536041239914
"35";2016;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";102,637333953019
"36";2017;"Kauppa, kuljetus, hotelli ja ravintola";"Tanska";103,644293959413
"37";2000;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";90,4574570728002
"38";2001;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";91,9516150625763
"39";2002;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";92,8660421474755
"40";2003;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";93,8437819056814
"41";2004;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";95,2289704048023
"42";2005;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";96,6546725551456
"43";2006;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";98,8101348529098
"44";2007;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";100
"45";2008;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";98,8129158787042
"46";2009;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";95,8434614587791
"47";2010;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";97,5369499212231
"48";2011;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";99,3814452053193
"49";2012;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";100,044871525774
"50";2013;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";100,977512770013
"51";2014;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";102,579822168588
"52";2015;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";103,853595283182
"53";2016;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";103,957963229866
"54";2017;"Kauppa, kuljetus, hotelli ja ravintola";"EU15";105,419838418844
"55";2000;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";83,7515845796561
"56";2001;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";88,903761934189
"57";2002;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";88,2214687640674
"58";2003;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";89,8396566239627
"59";2004;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";93,3157768037516
"60";2005;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";95,8099294581132
"61";2006;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";94,5968947595809
"62";2007;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";100
"63";2008;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";102,916289087755
"64";2009;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";94,6455465008436
"65";2010;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";99,4045246493403
"66";2011;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";104,961443995546
"67";2012;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";106,052845910204
"68";2013;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";103,583576341465
"69";2014;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";101,842367794665
"70";2015;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";99,9417227382547
"71";2016;"Kauppa, kuljetus, hotelli ja ravintola";"Suomi";103,280536845893
